year,month,date_reported,arrest_date,borough,offense_category,offense_description,bias_motive,offense_category
2022,February,02/27/2022,03/02/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/28/2022,03/02/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,02/09/2022,03/31/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,February,03/01/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,February,02/07/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,February,02/24/2023,03/03/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,February,02/09/2023,02/09/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2023,February,02/08/2023,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,March,03/09/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/10/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/08/2019,03/09/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/29/2019,03/29/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/17/2019,04/07/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2019,March,03/31/2019,05/10/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/08/2019,07/02/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2019,March,03/31/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,March,03/19/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,March,03/08/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2020,March,03/25/2020,05/12/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/10/2020,03/13/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/16/2020,03/16/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/29/2020,03/29/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/10/2020,04/08/2020,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2020,March,03/24/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2020,March,03/02/2020,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2021,March,03/23/2021,03/23/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/05/2021,04/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/23/2021,04/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/21/2021,03/22/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/26/2021,03/27/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/28/2021,10/29/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/29/2021,01/26/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/26/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/23/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/29/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,March,03/08/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/15/2022,03/15/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,March,03/09/2022,03/09/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/16/2022,03/16/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,March,03/18/2022,03/18/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/09/2022,03/22/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/31/2022,03/31/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/25/2022,04/12/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/19/2022,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,March,03/09/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,March,03/26/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,March,03/07/2022,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,March,03/20/2023,04/20/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-GENDER NON-CONFORMING,Gender
2023,March,03/06/2023,03/06/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,March,03/31/2023,04/07/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-BLACK,Race/Color
2023,March,03/10/2023,03/10/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-BLACK,Race/Color
2023,March,03/16/2023,05/01/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,March,03/23/2023,05/01/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,March,03/06/2023,03/06/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,March,03/31/2023,04/18/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,April,04/03/2019,04/04/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,April,04/03/2019,04/05/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,April,04/07/2019,04/07/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2019,April,04/26/2019,04/25/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-BLACK,Race/Color
2019,April,04/04/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,April,04/09/2021,04/09/2021,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,April,04/07/2021,04/07/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/17/2021,05/04/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/27/2021,06/09/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/01/2021,03/01/2022,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/19/2021,04/19/2021,BRONX,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2021,April,04/28/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/26/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/28/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/25/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,April,04/26/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,April,04/20/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/07/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/15/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/17/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2021,April,04/17/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/10/2021,,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2022,April,04/02/2022,04/02/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/24/2022,05/05/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,April,04/02/2022,05/06/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/02/2022,05/12/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/20/2022,06/14/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/10/2022,04/10/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2022,April,04/26/2022,04/26/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2022,April,04/08/2022,07/07/2022,MANHATTEN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,April,04/16/2023,04/16/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,April,04/08/2023,04/08/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,April,04/04/2023,04/18/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,April,04/28/2023,05/01/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-ASIAN,Race/Color
2023,April,04/13/2023,04/12/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2023,April,04/25/2023,05/10/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,April,05/02/2023,05/16/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-WHITE,Race/Color
2023,April,04/25/2023,06/27/2023,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MUSLIM,Religion/Religious Practice
2023,April,04/14/2023,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-TRANSGENDER,Gender
2023,April,04/18/2023,,QUEENS,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,April,04/14/2023,,STATEN ISLAND,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-GENDER NON-CONFORMING,Gender
2019,May,05/08/2019,05/15/2019,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/04/2019,,BROOKLYN,MISDEMEANOR,MISDEMEANOR ASSAULT,ANTI-JEWISH,Religion/Religious Practice
