year,month,date_reported,arrest_date,borough,offense_category,offense_description,bias_motive,offense_category
2022,February,02/24/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/17/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/17/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/12/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/21/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/12/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/14/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/09/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,February,02/17/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,02/13/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,05/19/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,February,03/02/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-MUSLIM,Religion/Religious Practice
2022,February,02/02/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,February,02/18/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,February,02/13/2023,02/27/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,February,02/17/2023,03/04/2023,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,February,02/19/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation
2023,February,02/28/2023,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2023,February,02/01/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,February,02/03/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/22/2019,04/02/2019,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/17/2019,03/17/2019,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/21/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/24/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2019,March,03/31/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/05/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/19/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/19/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/13/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/21/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry
2019,March,04/01/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/11/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/19/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/18/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-WHITE,Race/Color
2019,March,03/06/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,March,03/05/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/11/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,March,03/18/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,March,03/05/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-HINDU,Religion/Religious Practice
2020,March,03/12/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,March,03/18/2020,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2020,March,03/06/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,March,03/08/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,March,03/30/2021,05/18/2021,BRONX,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,March,03/12/2021,03/12/2021,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,March,03/24/2021,03/24/2021,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,March,03/23/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,March,03/18/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,March,03/25/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,March,03/18/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,March,03/18/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,March,03/25/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,March,03/21/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2022,March,03/08/2022,05/03/2022,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,March,03/09/2022,03/27/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2022,March,03/24/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,March,03/22/2022,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,March,03/01/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,March,03/03/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2022,March,03/14/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,March,03/04/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,March,03/06/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,March,03/08/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,March,03/30/2023,05/02/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,March,03/13/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-WHITE,Race/Color
2023,March,03/05/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,March,03/24/2023,,STATEN ISLAND,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2023,March,03/23/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,March,03/31/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,March,03/10/2023,,STATEN ISLAND,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,04/30/2019,04/29/2019,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-MUSLIM,Religion/Religious Practice
2019,April,04/04/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,04/17/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,April,04/18/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,04/21/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,April,04/25/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,04/08/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,05/02/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,April,04/27/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2020,April,04/26/2020,07/07/2020,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2020,April,04/22/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-WHITE,Race/Color
2020,April,04/08/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2020,April,04/21/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,April,04/23/2021,05/01/2021,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/25/2021,05/01/2021,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/25/2021,05/01/2021,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/25/2021,05/01/2021,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/26/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/29/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/25/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/19/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/09/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,April,04/20/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/21/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,April,04/10/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/30/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,April,04/07/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,April,04/19/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,April,04/03/2022,04/02/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-MUSLIM,Religion/Religious Practice
2022,April,04/30/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,April,04/15/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,April,04/26/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/27/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,April,04/02/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,April,04/18/2023,05/10/2023,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,April,04/20/2023,05/23/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2023,April,04/21/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,April,04/30/2023,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,April,04/25/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,April,04/10/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,April,04/14/2023,,STATEN ISLAND,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,April,04/06/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/31/2019,07/09/2019,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-LGBT (MIXED GROUP),Sexual Orientation
2019,May,05/23/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,May,05/08/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/10/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/18/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-BUDDHIST,Religion/Religious Practice
2019,May,05/04/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/09/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/09/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/25/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/26/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,May,05/23/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,May,05/20/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,May,05/16/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ARAB,Ethnicity/National Origin/Ancestry
2020,May,05/08/2020,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2020,May,05/08/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,May,05/01/2021,05/01/2021,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/14/2021,05/21/2021,BRONX,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2021,May,05/16/2021,05/21/2021,BRONX,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2021,May,05/23/2021,05/26/2021,BRONX,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/03/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,May,05/18/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2021,May,05/25/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,May,05/13/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MUSLIM,Religion/Religious Practice
2021,May,06/01/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2021,May,05/24/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,May,05/04/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-WHITE,Race/Color
2021,May,05/22/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,May,05/12/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,May,06/26/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2022,May,05/06/2022,05/13/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,May,06/01/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,May,05/16/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MUSLIM,Religion/Religious Practice
2022,May,05/16/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,May,05/18/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,May,05/01/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2023,May,05/02/2023,06/06/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2023,May,05/02/2023,06/11/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2023,May,05/02/2023,05/24/2023,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,May,06/02/2023,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,May,05/18/2023,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,May,05/15/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,May,05/11/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-TRANSGENDER,Gender
2023,May,05/14/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/17/2019,06/19/2019,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-ARAB,Ethnicity/National Origin/Ancestry
2019,June,06/19/2019,06/19/2019,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-ARAB,Ethnicity/National Origin/Ancestry
2019,June,06/11/2019,06/12/2019,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/05/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,07/02/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,June,06/02/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,June,06/24/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/19/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-ARAB,Ethnicity/National Origin/Ancestry
2019,June,06/27/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/21/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/02/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,June,06/12/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2019,June,06/10/2019,,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2019,June,06/17/2019,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,June,06/02/2020,06/01/2020,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2020,June,06/25/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2020,June,07/02/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2020,June,06/30/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2020,June,06/28/2020,,BROOKLYN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2021,June,06/21/2021,06/21/2021,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2021,June,06/25/2021,09/29/2022,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,June,06/06/2021,06/17/2021,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,June,06/13/2021,06/17/2021,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,June,06/19/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2021,June,06/24/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2021,June,06/09/2021,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2021,June,06/22/2021,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,June,06/09/2022,06/09/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/26/2022,07/13/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-ASIAN,Race/Color
2022,June,06/09/2022,07/20/2022,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/27/2022,06/27/2022,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-HINDU,Religion/Religious Practice
2022,June,06/19/2022,,MANHATTEN,FELONY,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/30/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,June,06/12/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/18/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,June,06/13/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,June,06/27/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2022,June,06/03/2022,,MANHATTEN,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,June,06/08/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry
2022,June,06/08/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2022,June,06/09/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/02/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/02/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/06/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2022,June,06/09/2022,,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2022,June,06/14/2022,,QUEENS,FELONY,CRIMINAL MISCHIEF,ANTI-CATHOLIC,Religion/Religious Practice
2023,June,06/27/2023,06/27/2023,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,June,06/19/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,June,06/24/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-JEWISH,Religion/Religious Practice
2023,June,06/02/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2023,June,06/05/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation
2023,June,06/11/2023,,STATEN ISLAND,MISDEMEANOR,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
2019,July,07/26/2019,07/26/2019,BROOKLYN,FELONY,CRIMINAL MISCHIEF,ANTI-BLACK,Race/Color
