complaint_year,month_number,date_reported,arrest_date,borough,county,offense_category,offense_description,police_description,bias_motive,offense_category,
2019,10,10/17/2019,,BROOKLYN,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-OTHER RELIGION,Religion/Religious Practice,BKLYN SOUTH
2019,12,12/08/2019,,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2019,2,02/18/2019,,BROOKLYN,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,BKLYN SOUTH
2019,3,03/18/2019,,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2019,10,10/22/2019,,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2019,9,09/15/2019,,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,2,02/06/2020,02/06/2020,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,3,03/28/2020,03/28/2020,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,4,04/12/2020,04/29/2020,BROOKLYN,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,7,07/07/2020,07/07/2020,BROOKLYN,BRONX,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,7,07/31/2020,08/06/2020,BROOKLYN,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,10,10/08/2020,10/08/2020,BROOKLYN,BRONX,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,3,03/28/2020,11/03/2020,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,7,07/18/2020,11/10/2020,BROOKLYN,BRONX,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,12,12/13/2020,01/08/2021,BROOKLYN,BRONX,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,BKLYN SOUTH
2020,1,01/01/2020,01/01/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/21/2020,01/21/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/29/2020,01/29/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,2,02/08/2020,02/11/2020,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,3,03/06/2020,03/06/2020,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,3,03/20/2020,03/19/2020,BROOKLYN,KINGS,FELONY,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/24/2020,03/24/2020,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,5,05/10/2020,05/10/2020,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,3,03/25/2020,05/12/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/25/2020,05/12/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,4,04/23/2020,05/12/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,5,05/12/2020,05/12/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-GENDER NON-CONFORMING,Gender,BKLYN SOUTH
2020,5,05/07/2020,05/12/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,BKLYN SOUTH
2020,5,05/12/2020,05/12/2020,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,4,04/23/2020,05/15/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,6,06/02/2020,06/01/2020,BROOKLYN,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,5,05/21/2020,06/11/2020,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,6,06/27/2020,06/27/2020,BROOKLYN,KINGS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,BKLYN SOUTH
2020,8,08/09/2020,08/09/2020,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,08/21/2020,08/21/2020,BROOKLYN,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/05/2020,10/04/2020,BROOKLYN,KINGS,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,11,11/17/2020,11/17/2020,BROOKLYN,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,11,11/28/2020,11/28/2020,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,11,11/17/2020,12/30/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/12/2020,12/30/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/27/2020,12/30/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/28/2020,12/30/2020,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/27/2020,12/31/2020,BROOKLYN,KINGS,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,12,12/26/2020,12/31/2020,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,12,12/26/2020,12/31/2020,BROOKLYN,KINGS,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,8,08/06/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,11,11/17/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,11,11/29/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/12/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/27/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,12,12/28/2020,01/05/2021,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-FEMALE,Gender,BKLYN SOUTH
2020,1,01/14/2020,01/14/2020,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/17/2020,01/16/2020,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/24/2020,01/30/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-LGBT (MIXED GROUP),Sexual Orientation,BKLYN SOUTH
2020,2,02/05/2020,02/14/2020,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,1,01/24/2020,02/19/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-LGBT (MIXED GROUP),Sexual Orientation,BKLYN SOUTH
2020,2,02/24/2020,03/10/2020,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-WHITE,Race/Color,BKLYN SOUTH
2020,3,03/10/2020,03/13/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/10/2020,03/13/2020,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/16/2020,03/16/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/29/2020,03/29/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,3,03/10/2020,04/08/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,5,05/24/2020,05/24/2020,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,MENACING 1ST DEGREE (VICT NOT,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,6,06/12/2020,06/12/2020,BROOKLYN,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,5,05/05/2020,07/16/2020,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,DWELLING",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,08/25/2020,08/25/2020,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",ANTI-WHITE,Race/Color,BKLYN SOUTH
2020,5,05/16/2020,09/27/2020,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,10,10/24/2020,10/24/2020,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/13/2020,11/30/2020,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,11,11/03/2020,12/08/2020,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,12,12/04/2020,12/15/2020,BROOKLYN,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,12,12/26/2020,12/26/2020,BROOKLYN,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,12,12/28/2020,12/28/2020,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,11,11/22/2020,01/04/2021,BROOKLYN,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,12,12/18/2020,01/11/2021,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,1,06/30/2020,02/22/2021,BROOKLYN,NEW YORK,FELONY,SEX CRIMES,SEXUAL ABUSE,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,12,12/18/2020,04/14/2021,BROOKLYN,NEW YORK,FELONY,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,9,09/12/2020,09/27/2022,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MULTI-RACIAL GROUPS,Race/Color,BKLYN SOUTH
2020,2,02/04/2020,02/10/2020,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,BKLYN SOUTH
2020,3,03/12/2020,03/14/2020,BROOKLYN,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,5,05/24/2020,05/24/2020,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,5,06/04/2020,06/05/2020,BROOKLYN,QUEENS,FELONY,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",60 YRS AND OLDER,Age,BKLYN SOUTH
2020,6,06/06/2020,06/06/2020,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,6,06/12/2020,06/12/2020,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-HINDU,Religion/Religious Practice,BKLYN SOUTH
2020,4,04/26/2020,07/07/2020,BROOKLYN,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,9,09/07/2020,09/07/2020,BROOKLYN,QUEENS,FELONY,MURDER & NON-NEGL. MANSLAUGHTE,"MANSLAUGHTER,UNCLASSIFIED - NO",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,09/15/2020,09/21/2020,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,9,09/24/2020,09/24/2020,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,10,10/01/2020,10/01/2020,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/02/2020,10/14/2020,BROOKLYN,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,7,08/11/2020,10/14/2020,BROOKLYN,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,08/12/2020,10/14/2020,BROOKLYN,QUEENS,VIOLATION,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,08/19/2020,10/14/2020,BROOKLYN,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,11,11/07/2020,11/12/2020,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,BKLYN SOUTH
2020,7,07/29/2020,08/06/2020,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,7,07/29/2020,08/06/2020,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN SOUTH
2020,7,08/01/2020,08/06/2020,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,BKLYN SOUTH
2020,7,07/30/2020,08/06/2020,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-ASIAN,Race/Color,BKLYN SOUTH
2020,8,08/01/2020,08/06/2020,BROOKLYN,RICHMOND,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,3,03/14/2020,03/24/2021,BROOKLYN,RICHMOND,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,8,08/31/2020,03/24/2021,BROOKLYN,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,9,09/03/2020,03/24/2021,BROOKLYN,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,7,07/26/2020,,BROOKLYN,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-MULTI-RACIAL GROUPS,Race/Color,BKLYN SOUTH
2020,10,10/13/2020,,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,3,09/06/2020,,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,8,08/19/2020,,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,8,08/24/2020,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,2,02/09/2020,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/31/2020,,BROOKLYN,BRONX,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,11,11/07/2020,,BROOKLYN,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/27/2020,,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,11,11/20/2020,,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,2,02/12/2020,,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,3,03/05/2020,,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, BY FIRE",ANTI-HINDU,Religion/Religious Practice,BKLYN SOUTH
2020,7,07/10/2020,,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-RELIGIOUS PRACTICE GENERALLY,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/14/2020,,BROOKLYN,RICHMOND,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/01/2020,,BROOKLYN,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,9,09/01/2020,,BROOKLYN,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,10,10/06/2020,,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,8,08/16/2020,,BROOKLYN,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,12,12/26/2020,,BROOKLYN,KINGS,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,2,02/11/2020,,BROOKLYN,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN SOUTH
2020,8,08/01/2020,,BROOKLYN,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,BKLYN SOUTH
2020,12,01/26/2020,,BROOKLYN,BRONX,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,2,02/06/2020,,BROOKLYN,KINGS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,7,07/23/2020,,BROOKLYN,KINGS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,9,09/10/2020,,BROOKLYN,QUEENS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
2020,1,01/24/2020,,BROOKLYN,QUEENS,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,BKLYN SOUTH
